term_iri	term_label	term_type	mondo_iri	mondo_label	all_children_count	active_children_needing_reparent
http://www.ebi.ac.uk/efo/EFO_0000209	T-cell acute lymphoblastic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0004963	T-cell acute lymphoblastic leukemia	2	0
http://www.ebi.ac.uk/efo/EFO_0000211	unspecified peripheral T-cell lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004964	unspecified peripheral T-cell lymphoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000216	acinar cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004965	acinar cell carcinoma	5	0
http://www.ebi.ac.uk/efo/EFO_0000217	gastritis	EFO	http://purl.obolibrary.org/obo/MONDO_0004966	gastritis (disease)	3	0
http://www.ebi.ac.uk/efo/EFO_0000218	acute erythroleukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0017858	acute erythroid leukemia	1	1
http://www.ebi.ac.uk/efo/EFO_0000220	acute lymphoblastic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0004967	acute lymphoblastic leukemia (disease)	13	1
http://www.ebi.ac.uk/efo/EFO_0000221	acute monocytic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0007896	acute monocytic leukemia	2	1
http://www.ebi.ac.uk/efo/EFO_0000222	acute myeloid leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0018874	acute myeloid leukemia	15	3
http://www.ebi.ac.uk/efo/EFO_0000223	acute myelomonocytic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0018871	acute myelomonocytic leukemia M4	0	0
http://www.ebi.ac.uk/efo/EFO_0000224	acute promyelocytic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0012883	acute promyelocytic leukemia	0	0
http://www.ebi.ac.uk/efo/EFO_0000225	acute quadriplegic myopathy	EFO	http://purl.obolibrary.org/obo/MONDO_0004969	acute quadriplegic myopathy	0	0
http://www.ebi.ac.uk/efo/EFO_0000228	adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004970	adenocarcinoma	59	2
http://www.ebi.ac.uk/efo/EFO_0000231	adenoid cystic carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004971	adenoid cystic carcinoma	10	0
http://www.ebi.ac.uk/efo/EFO_0000232	adenoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004972	adenoma	21	0
http://www.ebi.ac.uk/efo/EFO_0000233	adenosquamous lung carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004973	adenosquamous lung carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000239	adrenal gland pheochromocytoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004974	adrenal gland pheochromocytoma	2	0
http://www.ebi.ac.uk/efo/EFO_0000248	alveolar rhabdomyosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0009994	alveolar rhabdomyosarcoma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000255	angioimmunoblastic T-cell lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004977	angioimmunoblastic T-cell lymphoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000272	astrocytoma	EFO	http://purl.obolibrary.org/obo/MONDO_0019781	astrocytoma	4	0
http://www.ebi.ac.uk/efo/EFO_0000274	atopic eczema	EFO	http://purl.obolibrary.org/obo/MONDO_0004980	atopic eczema	2	2
http://www.ebi.ac.uk/efo/EFO_0000275	atrial fibrillation	EFO	http://purl.obolibrary.org/obo/MONDO_0004981	atrial fibrillation (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000278	pancreatitis	EFO	http://purl.obolibrary.org/obo/MONDO_0004982	pancreatitis	7	2
http://www.ebi.ac.uk/efo/EFO_0000279	azoospermia	EFO	http://purl.obolibrary.org/obo/MONDO_0004983	azoospermia	0	0
http://www.ebi.ac.uk/efo/EFO_0000280	Barrett's esophagus	EFO	http://purl.obolibrary.org/obo/MONDO_0013662	Barrett esophagus	0	0
http://www.ebi.ac.uk/efo/EFO_0000281	basal-like carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004984	basal-like breast carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000284	benign prostatic hyperplasia	EFO	http://purl.obolibrary.org/obo/MONDO_0010811	benign prostatic hyperplasia (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000294	bladder tumor	EFO	http://purl.obolibrary.org/obo/MONDO_0004987	bladder tumor	2	0
http://www.ebi.ac.uk/efo/EFO_0000304	breast adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004988	breast adenocarcinoma	6	0
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004989	breast carcinoma	16	5
http://www.ebi.ac.uk/efo/EFO_0000306	breast tumor luminal	EFO	http://purl.obolibrary.org/obo/MONDO_0004990	breast tumor luminal A or B	0	0
http://www.ebi.ac.uk/efo/EFO_0000308	bronchoalveolar adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004991	bronchoalveolar adenocarcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000309	Burkitts lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0007243	Burkitts lymphoma	4	2
http://www.ebi.ac.uk/efo/EFO_0000313	carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004993	carcinoma	89	4
http://www.ebi.ac.uk/efo/EFO_0000318	cardiomyopathy	EFO	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy	13	2
http://www.ebi.ac.uk/efo/EFO_0000319	cardiovascular disease	EFO	http://purl.obolibrary.org/obo/MONDO_0004995	cardiovascular disease	2	0
http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	EFO	http://purl.obolibrary.org/obo/MONDO_0002714	central nervous system cancer	21	1
http://www.ebi.ac.uk/efo/EFO_0000330	childhood acute myeloid leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0004996	childhood acute myeloid leukemia	0	0
http://www.ebi.ac.uk/efo/EFO_0000331	chondroblastoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004997	chondroblastoma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000332	chondromyxoid fibroma	EFO	http://purl.obolibrary.org/obo/MONDO_0018447	chondromyxoid fibroma	0	0
http://www.ebi.ac.uk/efo/EFO_0000333	chondrosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0008977	chondrosarcoma (disease)	2	0
http://www.ebi.ac.uk/efo/EFO_0000335	chromophobe renal cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0017885	chromophobe renal cell carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000337	chronic gastritis	EFO	http://purl.obolibrary.org/obo/MONDO_0005001	chronic gastritis (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000339	chronic myelogenous leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0011996	chronic myelogenous leukemia	2	0
http://www.ebi.ac.uk/efo/EFO_0000341	chronic obstructive pulmonary disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005002	chronic obstructive pulmonary disease	2	0
http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis	EFO	http://purl.obolibrary.org/obo/MONDO_0005003	chronic pancreatitis	1	0
http://www.ebi.ac.uk/efo/EFO_0000348	clear cell adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005004	clear cell adenocarcinoma	5	0
http://www.ebi.ac.uk/efo/EFO_0000349	clear cell renal carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005005	clear cell renal carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000350	clear cell sarcoma of the kidney	EFO	http://purl.obolibrary.org/obo/MONDO_0005006	clear cell sarcoma of kidney	0	0
http://www.ebi.ac.uk/efo/EFO_0000364	colon mucinous adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005007	colon mucinous adenocarcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000365	colorectal adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005008	colorectal adenocarcinoma	5	2
http://www.ebi.ac.uk/efo/EFO_0000373	congestive heart failure	EFO	http://purl.obolibrary.org/obo/MONDO_0005009	congestive heart failure	2	0
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005011	Crohn disease	5	0
http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma (disease)	2	0
http://www.ebi.ac.uk/efo/EFO_0000394	dedifferentiated chondrosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005013	dedifferentiated chondrosarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000398	dermatomyositis	EFO	http://purl.obolibrary.org/obo/MONDO_0016367	dermatomyositis	3	2
http://www.ebi.ac.uk/efo/EFO_0000400	diabetes mellitus	EFO	http://purl.obolibrary.org/obo/MONDO_0005015	diabetes mellitus (disease)	8	4
http://www.ebi.ac.uk/efo/EFO_0000401	diabetic nephropathy	EFO	http://purl.obolibrary.org/obo/MONDO_0005016	diabetic nephropathy	2	2
http://www.ebi.ac.uk/efo/EFO_0000402	diffuse gastric adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005017	diffuse gastric adenocarcinoma	1	1
http://www.ebi.ac.uk/efo/EFO_0000403	diffuse large B-cell lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0018905	diffuse large B-cell lymphoma	10	0
http://www.ebi.ac.uk/efo/EFO_0000404	diffuse scleroderma	EFO	http://purl.obolibrary.org/obo/MONDO_0005019	diffuse scleroderma	0	0
http://www.ebi.ac.uk/efo/EFO_0000405	digestive system disease	EFO	http://purl.obolibrary.org/obo/MONDO_0004335	gastrointestinal system disease	75	15
http://www.ebi.ac.uk/efo/EFO_0000407	dilated cardiomyopathy	EFO	http://purl.obolibrary.org/obo/MONDO_0005021	dilated cardiomyopathy	6	4
http://www.ebi.ac.uk/efo/EFO_0000408	disease	EFO	http://purl.obolibrary.org/obo/MONDO_0000001	disease	56	9
http://www.ebi.ac.uk/efo/EFO_0000432	ductal carcinoma in situ	EFO	http://purl.obolibrary.org/obo/MONDO_0005023	ductal breast carcinoma in situ	0	0
http://www.ebi.ac.uk/efo/EFO_0000437	embryonal rhabdomyosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0009993	embryonal rhabdomyosarcoma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000464	emphysema	EFO	http://purl.obolibrary.org/obo/MONDO_0004849	pulmonary emphysema	0	0
http://www.ebi.ac.uk/efo/EFO_0000465	endocarditis	EFO	http://purl.obolibrary.org/obo/MONDO_0005025	endocarditis (disease)	2	0
http://www.ebi.ac.uk/efo/EFO_0000466	endometrioid carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005026	endometrioid adenocarcinoma	7	2
http://www.ebi.ac.uk/efo/EFO_0000474	epilepsy	EFO	http://purl.obolibrary.org/obo/MONDO_0005027	epilepsy	10	3
http://www.ebi.ac.uk/efo/EFO_0000478	esophageal adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005028	esophageal adenocarcinoma	1	0
http://www.ebi.ac.uk/efo/EFO_0000479	essential thrombocythemia	EFO	http://purl.obolibrary.org/obo/MONDO_0005029	essential thrombocythemia	0	0
http://www.ebi.ac.uk/efo/EFO_0000489	extra-adrenal sympathetic paraganglioma	EFO	http://purl.obolibrary.org/obo/MONDO_0000550	extra-adrenal sympathetic paraganglioma	2	2
http://www.ebi.ac.uk/efo/EFO_0000495	fetal growth restriction	EFO	http://purl.obolibrary.org/obo/MONDO_0005030	fetal growth restriction	0	0
http://www.ebi.ac.uk/efo/EFO_0000497	fibromatosis	EFO	http://purl.obolibrary.org/obo/MONDO_0005031	fibromatosis	3	1
http://www.ebi.ac.uk/efo/EFO_0000499	follicular thyroid adenoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005032	follicular thyroid adenoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000500	ganglioneuroma	EFO	http://purl.obolibrary.org/obo/MONDO_0005033	ganglioneuroma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000501	follicular thyroid carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005034	follicular thyroid carcinoma (disease)	1	0
http://www.ebi.ac.uk/efo/EFO_0000502	ganglioneuroblastoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005035	ganglioneuroblastoma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000503	gastric adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005036	gastric adenocarcinoma	6	0
http://www.ebi.ac.uk/efo/EFO_0000504	gastric intestinal type adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005037	gastric intestinal type adenocarcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000508	genetic disorder	EFO	http://purl.obolibrary.org/obo/MONDO_0003847	inherited genetic disorder	125	98
http://www.ebi.ac.uk/efo/EFO_0000512	reproductive system disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005039	reproductive system disease	30	6
http://www.ebi.ac.uk/efo/EFO_0000514	germ cell tumor	EFO	http://purl.obolibrary.org/obo/MONDO_0005040	germ cell tumor	16	0
http://www.ebi.ac.uk/efo/EFO_0000519	glioblastoma multiforme	EFO	http://purl.obolibrary.org/obo/MONDO_0018177	glioblastoma (disease)	2	1
http://www.ebi.ac.uk/efo/EFO_0000536	hyperplasia	EFO	http://purl.obolibrary.org/obo/MONDO_0005043	hyperplasia	15	3
http://www.ebi.ac.uk/efo/EFO_0000537	hypertension	EFO	http://purl.obolibrary.org/obo/MONDO_0005044	hypertension	11	1
http://www.ebi.ac.uk/efo/EFO_0000538	hypertrophic cardiomyopathy	EFO	http://purl.obolibrary.org/obo/MONDO_0005045	hypertrophic cardiomyopathy	0	0
http://www.ebi.ac.uk/efo/EFO_0000540	immune system disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005046	immune system disease	41	9
http://www.ebi.ac.uk/efo/EFO_0000545	infertility	EFO	http://purl.obolibrary.org/obo/MONDO_0005047	infertility	2	0
http://www.ebi.ac.uk/efo/EFO_0000546	injury	EFO	http://purl.obolibrary.org/obo/MONDO_0021178	injury	26	23
http://www.ebi.ac.uk/efo/EFO_0000549	insulinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005048	insulinoma (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000552	invasive ductal and lobular carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005050	invasive ductal and lobular carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000553	invasive lobular carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005051	invasive lobular carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000555	irritable bowel syndrome	EFO	http://purl.obolibrary.org/obo/MONDO_0005052	irritable bowel syndrome	0	0
http://www.ebi.ac.uk/efo/EFO_0000557	juvenile dermatomyositis	EFO	http://purl.obolibrary.org/obo/MONDO_0008054	juvenile dermatomyositis	0	0
http://www.ebi.ac.uk/efo/EFO_0000558	Kaposi's sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005055	Kaposi's sarcoma (disease)	1	0
http://www.ebi.ac.uk/efo/EFO_0000559	keratinizing squamous cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005056	keratinizing squamous cell carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000563	large cell neuroendocrine carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005057	large cell neuroendocrine carcinoma	2	0
http://www.ebi.ac.uk/efo/EFO_0000564	leiomyosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005058	leiomyosarcoma	3	0
http://www.ebi.ac.uk/efo/EFO_0000565	leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0005059	leukemia (disease)	15	1
http://www.ebi.ac.uk/efo/EFO_0000569	liposarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005060	liposarcoma	5	0
http://www.ebi.ac.uk/efo/EFO_0000571	lung adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005061	lung adenocarcinoma	6	2
http://www.ebi.ac.uk/efo/EFO_0000574	lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005062	lymphoma	35	1
http://www.ebi.ac.uk/efo/EFO_0000580	medullary breast carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005063	medullary breast carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000584	infectious meningitis	EFO	http://purl.obolibrary.org/obo/MONDO_0004796	infectious meningitis	6	0
http://www.ebi.ac.uk/efo/EFO_0000588	mesothelioma	EFO	http://purl.obolibrary.org/obo/MONDO_0005065	mesothelioma	5	1
http://www.ebi.ac.uk/efo/EFO_0000589	metabolic disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	29	8
http://www.ebi.ac.uk/efo/EFO_0000595	monophasic synovial sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005067	monophasic synovial sarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000612	myocardial infarction	EFO	http://purl.obolibrary.org/obo/MONDO_0005068	myocardial infarction (disease)	4	1
http://www.ebi.ac.uk/efo/EFO_0000613	myxoid liposarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0013280	myxoid liposarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	EFO	http://purl.obolibrary.org/obo/MONDO_0005070	neoplasm (disease)	322	28
http://www.ebi.ac.uk/efo/EFO_0000618	nervous system disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005071	nervous system disease	54	19
http://www.ebi.ac.uk/efo/EFO_0000621	neuroblastoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005072	neuroblastoma	4	0
http://www.ebi.ac.uk/efo/EFO_0000622	neurofibroma	EFO	http://purl.obolibrary.org/obo/MONDO_0016755	neurofibroma	3	3
http://www.ebi.ac.uk/efo/EFO_0000630	oligoastrocytoma	EFO	http://purl.obolibrary.org/obo/MONDO_0016702	oligoastrocytoma	1	0
http://www.ebi.ac.uk/efo/EFO_0000632	oligodendroglioma	EFO	http://purl.obolibrary.org/obo/MONDO_0016695	oligodendroglioma	0	0
http://www.ebi.ac.uk/efo/EFO_0000637	osteosarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0009807	osteosarcoma (disease)	4	1
http://www.ebi.ac.uk/efo/EFO_0000639	papillary cystadenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005074	papillary cystadenocarcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000640	papillary renal cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0017884	papillary renal cell carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000641	papillary thyroid carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005075	papillary thyroid carcinoma (disease)	1	0
http://www.ebi.ac.uk/efo/EFO_0000649	periodontitis	EFO	http://purl.obolibrary.org/obo/MONDO_0005076	periodontitis	6	0
http://www.ebi.ac.uk/efo/EFO_0000650	whooping cough	EFO	http://purl.obolibrary.org/obo/MONDO_0005077	whooping cough	0	0
http://www.ebi.ac.uk/efo/EFO_0000653	phyllodes tumor	EFO	http://purl.obolibrary.org/obo/MONDO_0005078	phyllodes tumor	1	0
http://www.ebi.ac.uk/efo/EFO_0000660	polycystic ovary syndrome	EFO	http://purl.obolibrary.org/obo/MONDO_0008487	polycystic ovary syndrome	0	0
http://www.ebi.ac.uk/efo/EFO_0000662	polyp	EFO	http://purl.obolibrary.org/obo/MONDO_0005079	polyp	16	1
http://www.ebi.ac.uk/efo/EFO_0000666	portal hypertension	EFO	http://purl.obolibrary.org/obo/MONDO_0005080	portal hypertension	0	0
http://www.ebi.ac.uk/efo/EFO_0000668	preeclampsia	EFO	http://purl.obolibrary.org/obo/MONDO_0005081	preeclampsia	1	0
http://www.ebi.ac.uk/efo/EFO_0000673	prostate adenocarcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005082	prostate adenocarcinoma	2	0
http://www.ebi.ac.uk/efo/EFO_0000676	psoriasis	EFO	http://purl.obolibrary.org/obo/MONDO_0005083	psoriasis	2	1
http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	EFO	http://purl.obolibrary.org/obo/MONDO_0005084	mental disorder	53	17
http://www.ebi.ac.uk/efo/EFO_0000678	pterygium	EFO	http://purl.obolibrary.org/obo/MONDO_0005085	pterygium	0	0
http://www.ebi.ac.uk/efo/EFO_0000681	renal cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005086	renal cell carcinoma (disease)	6	0
http://www.ebi.ac.uk/efo/EFO_0000684	respiratory system disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005087	respiratory system disease	40	8
http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	EFO	http://purl.obolibrary.org/obo/MONDO_0008383	rheumatoid arthritis	5	2
http://www.ebi.ac.uk/efo/EFO_0000691	sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005089	sarcoma	25	1
http://www.ebi.ac.uk/efo/EFO_0000693	schwannoma	EFO	http://purl.obolibrary.org/obo/MONDO_0002546	schwannoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000694	severe acute respiratory syndrome	EFO	http://purl.obolibrary.org/obo/MONDO_0005091	severe acute respiratory syndrome	0	0
http://www.ebi.ac.uk/efo/EFO_0000698	signet ring cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005092	signet ring cell carcinoma	3	0
http://www.ebi.ac.uk/efo/EFO_0000699	Sjogren syndrome	EFO	http://purl.obolibrary.org/obo/MONDO_0010030	Sjogren syndrome	0	0
http://www.ebi.ac.uk/efo/EFO_0000701	skin disease	EFO	http://purl.obolibrary.org/obo/MONDO_0005093	skin disease	108	38
http://www.ebi.ac.uk/efo/EFO_0000702	small cell lung carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0008433	small cell lung carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000705	spindle cell tumor	EFO	http://purl.obolibrary.org/obo/MONDO_0020664	spindle cell neoplasm	2	0
http://www.ebi.ac.uk/efo/EFO_0000706	spondyloarthropathy	EFO	http://purl.obolibrary.org/obo/MONDO_0005095	spondyloarthropathy	1	0
http://www.ebi.ac.uk/efo/EFO_0000707	squamous cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005096	squamous cell carcinoma	26	1
http://www.ebi.ac.uk/efo/EFO_0000708	squamous cell lung carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005097	squamous cell lung carcinoma	1	0
http://www.ebi.ac.uk/efo/EFO_0000712	stroke	EFO	http://purl.obolibrary.org/obo/MONDO_0005098	stroke	4	3
http://www.ebi.ac.uk/efo/EFO_0000713	subarachnoid hemorrhage	EFO	http://purl.obolibrary.org/obo/MONDO_0005099	subarachnoid hemorrhage (disease)	0	0
http://www.ebi.ac.uk/efo/EFO_0000717	systemic scleroderma	EFO	http://purl.obolibrary.org/obo/MONDO_0005100	systemic scleroderma	4	3
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	EFO	http://purl.obolibrary.org/obo/MONDO_0005101	ulcerative colitis (disease)	2	0
http://www.ebi.ac.uk/efo/EFO_0000730	undifferentiated sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005102	undifferentiated (embryonal) sarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000731	uterine fibroid	EFO	http://purl.obolibrary.org/obo/MONDO_0007886	uterine corpus leiomyoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000734	vitamin B12 deficiency	EFO	http://purl.obolibrary.org/obo/MONDO_0020696	vitamin B12 deficiency	0	0
http://www.ebi.ac.uk/efo/EFO_0000736	well-differentiated liposarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005103	well-differentiated liposarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000737	well-differentiated sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005104	AJCC grade 1 sarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005105	melanoma (disease)	9	2
http://www.ebi.ac.uk/efo/EFO_0000759	lipoma	EFO	http://purl.obolibrary.org/obo/MONDO_0005106	lipoma	1	0
